id	offset	lines	chars	max_line_cells	japanese	english	notes
792	0x00b888	3	27	12	辻斬りに負けはしましたが\nなんとか\n生きて帰ってきましたよ		
793	0x00b8c6	2	19	10	それっきり用心棒を\nやめちまいました……		
794	0x00b8f8	1	8	8	用心棒をやめた？		
795	0x00b90c	2	12	10	いま\nここにはいないのか？		
796	0x00b930	1	2	2	ええ		
797	0x00b938	2	19	10	辻斬りに負けたのが\nよほどこたえたらしい		
798	0x00b96a	1	10	10	どこに行けば会える？		
799	0x00b988	3	25	11	たしか\n東新宿の『暁』って店で\nくすぶってるはずですよ		
800	0x00b9c2	2	20	13	自信をなくして\nだいぶ落ちこんでるようです		
801	0x00b9f6	2	17	11	『暁』か……\n行ってみる必要があるな		
802	0x00ba24	2	19	11	それより六堂さん\nこの一件がかたづいたら		
803	0x00ba50	2	14	11	ウチで\n用心棒をやりませんか？		
804	0x00ba78	2	13	8	六堂さんの腕なら\n信用できる		
805	0x00ba98	1	11	11	悪いようにはしませんよ		
806	0x00bab8	1	5	5	……悪いな		
807	0x00bac6	2	14	8	代わりの用心棒が\n欲しいんなら		
808	0x00bae8	1	8	8	他を当たってくれ		
809	0x00bb02	1	14	14	以蔵にはどこに行けば会える？		
810	0x00bb28	2	22	11	東新宿の『暁』って店で\nくすぶってるはずですよ		
811	0x00bb60	1	6	6	『暁』か……		
812	0x00bb72	1	2	2	周囲		
813	0x00bb7a	4	16	4	仲間\n通行人1\n通行人2\n通行人3		
814	0x00bba8	1	10	10	横浜を当たってみよう		
815	0x00bbc0	3	25	13	メタルと戦ってた\nウイザーズというギャングが\n気になる		
816	0x00bc00	2	21	12	まるで日本じゃないみたい\n不思議な感じの街ね		
817	0x00bc36	3	21	10	この街じゃ\n外国の企業が\n幅をきかせてるからな		
818	0x00bc6e	1	3	3	ふうん		
819	0x00bc7e	2	17	12	とりあえず\nウイザーズを捜さなきゃね		
820	0x00bcac	3	16	8	さて\nウイザーズに\nあたってみましょ		
821	0x00bcda	1	10	10	聞き込みをしてみるか		
822	0x00bcf8	2	19	13	ウイザーズが\nおとなしくしているおかげで		
823	0x00bd24	1	10	10	最近は、静かなもんさ		
824	0x00bd42	3	24	9	あいつらなら\n緋文楼ってクラブを\nたまり場にしてるぜ		
825	0x00bd80	3	19	7	それにしても\nあんなとこに\nなんの用だい？		
826	0x00bdb4	2	12	7	ちょっとね\nヤボ用があって		
827	0x00bdd8	2	14	10	……まあ\n場所は教えてやるがよ		
828	0x00bdfa	3	22	11	近づかないほうがいいぜ\nどうなっても\n知らねえよ		
829	0x00be34	2	24	12	最近はなりをひそめてるが\n危険な連中には変わりない		
830	0x00be70	3	31	12	どうしても行くってんなら\nそれなりの覚悟を\n決めといたほうがいいぜ		
831	0x00bebc	3	24	10	ウイザーズの連中には\nわたしたちも\n手を焼いてるのよ		
832	0x00bef4	2	18	9	奇妙な魔法を使って\nしたい放題ですもの		
833	0x00bf24	1	9	9	そんなにひどいの？		
834	0x00bf40	3	19	9	ええ\n変な幻を作ったり\n呪文で物を壊したり		
835	0x00bf6e	3	20	8	おまけに\n東京のギャングと\n戦いはじめたのよ		
836	0x00bfa4	3	21	11	それなら\nもう戦いは終わったって\n聞いたけど？		
837	0x00bfdc	1	8	8	そうなんだけどね		
838	0x00bff0	3	23	9	今度は今度で\n仕返しをこわがって\nピリピリしてるわ		
839	0x00c02c	2	10	7	えっ？\nウイザーズが？		
840	0x00c04c	3	18	10	ウイザーズ？\nああ\nあの不良魔法使いたち		
841	0x00c078	2	14	10	最近じゃ\nおとなしいもんですよ		
842	0x00c09a	2	22	12	どこかのギャングと戦って\n負けたらしいですがね		
843	0x00c0d2	3	30	12	ま、このまま\nおとなしくしててくれれば\nずいぶん平和なんですがね		
844	0x00c11c	2	15	10	とりあえず\n考えをまとめてみよう		
845	0x00c146	2	13	11	まず\n最初から整理してみよう		
846	0x00c16c	1	2	2	ああ		
847	0x00c174	3	27	14	俺たちは\n渋谷の辻斬り事件の\n犯人を追うという依頼を受けた		
848	0x00c1b8	1	11	11	犯人は着流し姿の『侍』		
849	0x00c1d2	2	14	11	しかし\n目立つ姿をしているのに		
850	0x00c1f4	2	18	10	手がかりらしいものは\nほとんどなかった		
851	0x00c224	3	20	10	だが\n不意に現われたり\n姿をかき消したりする		
852	0x00c254	2	19	10	魔法がからんでるのは\nまず間違いなかった		
853	0x00c280	3	23	10	そこで\nメタル・ラビリンスと\n抗争を繰り広げていた		
854	0x00c2b6	2	22	12	ウイザーズの魔法使い\n『影使い』が浮かんできた		
855	0x00c2ee	3	30	12	辻斬りに襲われた\nメタルのメンバーの言葉が\nヒントになったのよね		
856	0x00c338	1	2	2	でも		
857	0x00c340	3	23	12	その『影使い』は\nすでに\n命を落としていました……		
858	0x00c37c	3	22	10	辻斬りの\n正体に近づくヒントは\nそれだけじゃない		
859	0x00c3b6	3	19	10	そうだな\n重要なのは\n生き残りたちの証言だ		
860	0x00c3ea	3	33	12	メタルの用心棒、以蔵は\n地下の換気ダクトから\n吹き出す風に救われた……		
861	0x00c43a	3	27	12	それに、チョロって子は\n辻斬りが\n精霊に似てるって言ってた		
862	0x00c478	2	18	13	そうなると\nやっぱり辻斬りの正体は……		
863	0x00c4a8	3	15	7	そう\n辻斬りの正体は\n精霊なんだわ		
864	0x00c4ce	2	19	11	ウイザーズのメンバーも\n辻斬りの姿を見て		
865	0x00c4fa	2	18	12	影使いのしもべの精霊だと\n言ってた……		
866	0x00c524	2	12	10	でも\n本当にそんなことが？		
867	0x00c548	2	15	10	これ以上は\nあたしにはわからない		
868	0x00c56c	3	22	11	でも\n十日堂のお婆ちゃんなら\nなにか知ってるかも		
869	0x00c5a6	3	24	11	相手が\n魔法の生き物となると\n戦いかたを考えないとな		
870	0x00c5de	2	16	10	俺は武器屋のおやじに\n会ってみるよ		
871	0x00c60a	2	16	10	十日堂のお婆ちゃんに\n会ってみよう		
872	0x00c630	3	17	7	魔法のことなら\nあたしより\n詳しいはず		
873	0x00c660	2	16	10	俺は武器屋のおやじに\n会ってこよう		
874	0x00c68c	1	12	12	これで、情報はそろったな		
875	0x00c6ae	3	20	11	どうやら\n厄介な敵を\n相手にしなきゃならない		
876	0x00c6e4	3	26	12	しかし\n一度、引き受けた仕事だ\n途中で投げ出せはしないな		
877	0x00c726	2	14	9	そうですね\n乗りかかった船です		
878	0x00c748	2	16	12	わたしは\n最後まで見届けたいですね		
879	0x00c774	2	16	9	……精霊はあたしが\nなんとかするわ		
880	0x00c79a	3	25	11	銃の効かない相手じゃ\nあたしが\nがんばるしかないもんね		
881	0x00c7da	2	16	10	思い詰めても\nいいことなんかないぜ		
882	0x00c800	2	20	10	ヤバくなったら逃げる\nそれでいいじゃないか		
883	0x00c834	3	29	12	はい、シルバー・ムーン\nええ、いらっしゃいますよ\n少々お待ちを		
884	0x00c876	2	20	10	六堂さん、お電話です\nハジメさんからですよ		
885	0x00c8aa	1	2	2	俺だ		
886	0x00c8b8	3	24	10	ああ、六堂さん\n実はいましがた\n連絡が入ったんですが		
887	0x00c8f0	3	25	11	以蔵が辻斬りにやられて\n医者に\nかつぎこまれたようです		
888	0x00c92a	3	20	13	どうやら\n自分で\nケリをつけようとしたらしい		
889	0x00c960	1	4	4	以蔵が！		
890	0x00c972	3	27	11	路地に倒れてるところを\nウチのメンバーが\n見つけたんですが		
891	0x00c9b0	2	17	12	六堂さんに\n会いたがってたらしいので		
892	0x00c9de	1	9	9	以蔵は無事なのか？		
893	0x00c9fa	2	11	9	ええ\n悪運の強い男ですよ		
894	0x00ca16	2	14	11	いまは\n秋葉の闇医者のはずです		
895	0x00ca38	2	20	15	『エンジェル・クリニック』って\n病院ですよ		
896	0x00ca6c	2	10	6	わかった\n行ってみよう		
897	0x00ca8c	1	11	11	以蔵が辻斬りにやられた		
898	0x00caac	1	3	3	……！		
899	0x00cabc	2	18	12	俺に会いたがってるらしい\n行ってみよう		
900	0x00caec	1	10	10	とにかく以蔵に会おう		
901	0x00cb0a	3	24	11	どうしたんですか？\nみなさん\nお疲れのようですが……		
902	0x00cb48	2	20	12	浮かない顔ですね\n何かお作りしましょうか？		
903	0x00cb7c	2	18	12	『十日堂』のお婆ちゃんに\n会ってみるわ		
904	0x00cba6	3	23	9	あたしの師匠で\n魔法のことなら\nなんでも知ってるし		
905	0x00cbdc	2	14	8	こういうときには\n頼りになるわ		
906	0x00cc04	3	26	13	俺は\n『トリプルZ』に行ってくる\n知りあいの武器屋なんだ		
907	0x00cc40	2	16	12	あれこれ\n武器を世話してくれるから		
908	0x00cc66	2	21	11	妙な相手との戦いかたも\n知ってるかもしれない		
909	0x00cc9c	1	10	10	ようやくかたづいたな		
910	0x00ccb4	2	20	12	こうやって息をしてるのが\n不思議なくらいだ		
911	0x00cce8	1	2	2	ああ		
912	0x00ccf0	3	27	12	じきにハジメがやって来る\nあとは報酬を受けとって\n終わりさ		
913	0x00cd34	3	25	9	でも、どうするの？\n影使いのことも\n全部話してしまう？		
914	0x00cd6e	2	22	11	影使いのことを知ったら\nウイザーズが狙われるわ		
915	0x00cda0	2	16	11	また抗争が\nはじまっちゃうかも……		
916	0x00cdcc	1	6	6	そうだな……		
917	0x00cde2	3	18	8	聞きましたよ\n辻斬りを\n倒したそうですね		
918	0x00ce14	2	13	8	奴の正体は\nわかりましたか？		
919	0x00ce3a	1	11	11	……疲れる仕事だったな		
920	0x00ce5a	1	6	6	まったくです		
921	0x00ce70	2	24	12	マオの神がかりがなければ\nこっちが殺られてたかもな		
922	0x00ceac	1	7	7	そのお壌さんも		
923	0x00cebe	3	20	10	あれから\n物思いにふけったまま\nですからねぇ		
924	0x00cef4	3	19	10	どうやら\n骨の折れる\n仕事だったようですね		
925	0x00cf28	1	2	2	ああ		
926	0x00cf30	3	22	11	なにせ\nとらえどころのない奴が\n相手だったんでね		
927	0x00cf6a	1	5	5	そう言えば		
928	0x00cf78	3	24	11	マオさんに\nこういう謎かけを\n教えてもらったんですよ		
929	0x00cfb0	3	31	12	触れることはできなくても\n感じることはできるもの\nそれは何かってね		
930	0x00cffc	1	3	3	……？		
931	0x00d00c	1	10	10	答えは『精霊』ですよ		
932	0x00d02a	2	15	11	そいつは\n少し変えたほうがいいな		
933	0x00d04e	2	16	12	……俺は\nこの手で触れてきたぜ……		
934	0x00d07a	1	9	9	真相を明かしますか		
935	0x00d096	3	23	11	ウイザーズには\n影使いって\n魔法使いがいたらしいが		
936	0x00d0d2	2	19	12	辻斬りの正体は\nそいつが支配してた精霊さ		
937	0x00d0fe	3	22	11	影使いは\n抗争で受けた傷がもとで\n命を落としてた		
938	0x00d132	3	23	11	それで\n支配を逃れた精霊が\n暴れまわったってわけさ		
939	0x00d16e	3	25	11	待ってください？\n影使いが死んだってのは\n本当ですか？		
940	0x00d1ae	2	11	9	ああ\n横浜で確かめてきた		
941	0x00d1d0	1	12	12	それはすごいニュースだ！		
942	0x00d1ec	3	26	12	こうしちゃいられない\n今度こそ\nウイザーズを倒してやる！		
943	0x00d228	2	17	11	……六堂さん\nありがとうございました		
944	0x00d250	2	16	9	これは報酬です\n受けとってください		
945	0x00d276	2	14	10	約束より\n少し多めになってます		
946	0x00d29e	3	20	10	辻斬りの正体？\nどこかからやって来た\n精霊さ		
947	0x00d2d4	3	20	11	だが\nいまは思い出したくない\nすまないが……		
948	0x00d30a	3	30	12	ええ、ええ、かまいません\nあの邪魔な奴が\nいなくなったんですから		
949	0x00d34e	3	20	10	なにはともあれ\n報酬を\nお渡ししておきますよ		
950	0x00d37e	1	12	12	本当に世話になりましたね		
951	0x00d39a	3	18	8	そうだ！\n何かあったら\n連絡してください		
952	0x00d3c6	3	25	11	俺たちで\n力になれることがあれば\nいつでも協力しますよ		
953	0x00d406	2	21	12	じゃあ、俺はこれで\nまた何かあったら頼みます		
954	0x00d438	3	18	10	あのとき\nあたしに\n力を貸してくれたのは		
955	0x00d464	1	10	10	いったい誰なんだろう		
956	0x00d47c	3	26	10	あの子が言ってた通り\n精霊たちの呼びかけに\nよく似ていた		
957	0x00d4b8	2	18	11	だけど、もっと大きくて\nもっと力強い声		
958	0x00d4e2	3	21	9	いつでも\n見守ってくれている\nそんな感じがする		
959	0x00d514	2	17	12	この街には\nまだまだ秘密が眠っている		
960	0x00d53c	3	23	10	いつかまた\nあの力に触れることが\nできるだろうか？		
961	0x00d574	1	3	3	セーブ		
962	0x00d586	3	6	2	遅い\n普通\n速い		
